"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R615,R1008,R701,R1003,R1005";"R_0402_1005Metric";5;"470R_1/16W";;;
2;"X301";"Crystal_SMD_2016-4Pin_2.0x1.6mm";1;"16MHz/10ppm";;;
3;"R812,R814,R901,R815,R813,R902,R403,R1002";"R_0201_0603Metric";8;"4K7R_1/20W";;;
4;"R506,R509,R303";"R_0201_0603Metric";3;"49R9_1/20W";;;
5;"R611,R612";"R_0805_2012Metric";2;"1KR_1/8W";;;
6;"R1302,R1201,R1202,R1301,R1402,R1401";"R_0201_0603Metric";6;"47KR_1/20W";;;
7;"J501";"DSUB-15-HD_Male_Horizontal_P2.29x1.98mm_EdgePinOffset3.03mm_Housed_MountingHolesOffset4.94mm";1;"DE-15_MALE_RA";;;
8;"C1401,C808,C1201,C609,C601,C604,C1301,C607,C501,C805,C309,C806,C605,C608,C603,C611,C308,C503,C606,C602";"C_0201_0603Metric";20;"2u2F/6V3";;;
9;"D1002,D503,D505,D502,D1003,D501,D504";"D_0402_1005Metric";7;"GG040205100N2P";;;
10;"J1002";"USB_Micro-B_Amphenol_10118194_Horizontal";1;"MICRO B USB_RA";;;
11;"C1402,C305,C311,C502,C403,C1202,C402,C1302,C307,C317,C315,C404,C504,C313";"C_0201_0603Metric";14;"100nF/6V3";;;
12;"D604,D603,D605,D601,D607,D606,D602";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";7;"WS2812B";;;
13;"J901";"PinSocket_1x06_P2.54mm_Vertical";1;"RCPT_6POS_2.54MM_VERT";;;
14;"C303,C302";"C_0201_0603Metric";2;"12pF/50V";;;
15;"R607,R810,R806,R804,R903,R606,R808,R1006,R803,R614,R608,R603,R610,R605,R602,R601,R304,R613,R904,R809,R811,R807,R704,R705,R805";"R_0201_0603Metric";25;"100R_1/20W";;;
16;"J301,J602";"PinHeader_1x04_P1.27mm_Vertical";2;"RCPT_4POS_1.27MM";;;
17;"U301";"LQFP-64_10x10mm_P0.5mm";1;"STM32F446RCT6TR";;;
18;"J402";"TOTX1350_TOS";1;"TOTX1350(F)";;;
19;"R604,R404,R801,R1007,R504,R1203,R1403,R702,R302,R507,R1303,R301,R1004";"R_0201_0603Metric";13;"10KR_1/20W";;;
20;"C306,C310,C312,C1006,C807,C1005,C314,C304,C316,C301,C901";"C_0201_0603Metric";11;"1uF/6V3";;;
21;"LED1002,LED1003";"LED_0402_1005Metric";2;"AMBER";;;
22;"J701";"PinHeader_1x03_P1.27mm_Vertical";1;"RCPT_3POS_1.27MM";;;
23;"C401,C1001";"C_0402_1005Metric";2;"680pF_50V";;;
24;"C1003,C1002,C702,C1004,C801,C1009,C610,C1007,C1010,C804,C1008,C803,C802,C705,C701,C703,C704,C706";"C_0603_1608Metric";18;"10uF/16V";;;
25;"LED601,LED1001,LED701";"LED_0402_1005Metric";3;"GREEN";;;
26;"U701";"Converter_DCDC_RECOM_R-78S-0.1_THT";1;"1S4E_0505S1.5U";;;
27;"J1001,J802,J601,J801";"PinHeader_1x02_P1.27mm_Vertical";4;"MHDR_2POS_1.27MM_VERT";;;
28;"Q1002";"SOT-723";1;"RN1130MFV,L3F";;;
29;"R401";"R_0402_1005Metric";1;"330R_1/16W";;;
30;"LED301";"LED_0402_1005Metric";1;"RED";;;
31;"U1301,U1201,U1401";"SOT-353_SC-70-5";3;"MIC920YC5-TR";;;
32;"R1001";"R_0805_2012Metric";1;"4R7_1/4W";;;
33;"U603,U401,U601,U702,U501,U402,U502,U705";"SOT-23-5";8;"SN74LVC1G17DBVR";;;
34;"RV1001,RV1002";"Fuse_0805_2012Metric";2;"PTC_500mA";;;
35;"U1001";"SOT-23-5";1;"TPS613222ADBVR";;;
36;"J401";"PLR237T10BK";1;"PLR237/T10BK";;;
37;"F1001";"Fuse_0805_2012Metric";1;"0ZCK0100FF2E";;;
38;"R402,R802";"R_0402_1005Metric";2;"100R_1/10W";;;
39;"L1001";"L_0805_2012Metric";1;"2u2H_2A";;;
40;"FD1102,FD1101";"Fiducial_0.5mm_Mask1mm";2;"~";;;
41;"Q1001";"SO-8_3.9x4.9mm_P1.27mm";1;"SI4455DY-T1-GE3";;;
42;"U703";"SOT-23";1;"CDSOT23-SM712";;;
43;"R501,R502,R508,R503,R505";"R_1206_3216Metric";5;"75R_2W";;;
44;"D1001";"D_SMA";1;"SK510A-LTP";;;
45;"R706,R703";"R_0805_2012Metric";2;"680R_1/8W";;;
46;"F703,F702,F701";"Fuse_0805_2012Metric";3;"0805L010/24YR";;;
47;"U1003";"SOT-23-5";1;"MCP73811T-420I/OT";;;
48;"U605,U604";"SOT-23";2;"DLPT05A-7";;;
49;"C1101";"C_0805_2012Metric";1;"1nF_500V";;;
50;"U801";"SOP-16_3.9x9.9mm_P1.27mm";1;"PAM8003DR";;;
51;"R609";"R_0805_2012Metric";1;"100R_1/8W";;;
52;"U1002,U1004";"SOT-23-5";2;"TLV74033PDBVR";;;
53;"U802";"DBQ16";1;"PCM1754DBQR";;;
54;"U602";"SOIC-8_3.9x4.9mm_P1.27mm";1;"ISO7720FDR";;;
55;"R1101";"R_0805_2012Metric";1;"1MR_1/2W";;;
56;"U704";"SO-8_5.3x6.2mm_P1.27mm";1;"MAX22028AWA+";;;
